;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"Average";"224,6661326983404";"209,6945271150164";"209,45673235622485";"226,93776202579716";"234,9010764160892";"221,49814215941174";"226,74423227073083";"224,48415415491354";"214,54643349549247";"217,6709693874236"
"StandardDeviation";"48,31952926666587";"40,81277497046667";"33,73073579454604";"36,87980351536491";"38,73998943285134";"29,573734037383282";"37,05060477026811";"37,029223982263176";"41,85234843672337";"36,019188383590624"
"Solucao Elitista";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"BetterSolution";"252,21352630904477";"250,3462331586203";"299,58366532185954";"299,3956948198853";"300,71865040325577";"298,8876597854269";"252,23738985043224";"251,21960532018323";"249,8677389465058";"298,95752515347937"
"WorstSolution";"148,8355429673297";"149,72802631966164";"150,8525676484504";"150,74445636250172";"149,14780664487404";"149,97350843801215";"149,27454965504384";"148,89425240612422";"149,80913360452982";"151,71111725283123"
"Average";"202,24725475581135";"207,38521809709806";"212,64013626878446";"217,58095216838018";"209,74145881198774";"217,60527926368087";"212,48126245810053";"214,83104167540233";"204,59292662393827";"229,6875114838511"
"StandardDeviation";"37,05639665899258";"32,34597822953201";"34,88677867192769";"32,36866116341559";"37,65556081269651";"36,13329164832733";"30,985316263311386";"35,472062090339634";"30,820371114960476";"42,3474701323381"
"Solucao Elitista";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"BetterSolution";"298,53485971725524";"298,72825302376697";"299,5838963956562";"299,646603464275";"301,9829234642751";"299,7323281679332";"299,19433769967213";"300,4612851415587";"299,3917314232232";"299,3097145745791"
"WorstSolution";"198,60476371014002";"149,0318939219192";"149,57874121218887";"149,88145572977197";"150,26845058895842";"198,93255379693773";"149,44244904205783";"149,44244904205783";"149,13973452447473";"148,55525541089247"
"Average";"224,78549467131387";"212,38244794245452";"227,5188741174098";"222,52786408918186";"227,18597369484797";"222,5422522848775";"219,73623783956373";"227,7766604363544";"217,09700774783937";"212,55712005302857"
"StandardDeviation";"29,64510955341268";"38,23291144431664";"33,481418239720604";"36,868804121393254";"43,08010184791873";"33,07530122641263";"42,56632144562845";"33,60348609629766";"39,529170730793396";"38,4450513872667"
"Solucao Elitista";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"BetterSolution";"300,66212545187";"300,5925085564744";"300,9076075702205";"298,9767614634555";"298,49281385281625";"250,61809007059304";"301,5655378302413";"298,58085474035147";"250,98306449746687";"298,2980471710625"
"WorstSolution";"150,6007499739233";"149,80913360452982";"150,6007499739233";"198,16082117083886";"198,32692691402167";"150,07505728244664";"150,19766370976754";"198,10847812062275";"149,84220813291606";"149,66122436261367"
"Average";"214,92102566488785";"212,76772931108434";"222,42012029960134";"229,63429498400015";"219,72148194728794";"214,77383945458013";"227,2383824719397";"217,34020183116326";"227,10258735967992";"209,55552744644046"
"StandardDeviation";"44,33948261978249";"38,1222920359862";"33,461715133350445";"29,05231521409857";"28,89706770914432";"27,492550339776827";"43,36517063579344";"28,598330072480383";"29,401733994710373";"40,32299595647479"
"Solucao Elitista";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
"BetterSolution";"300,68749651355984";"298,87512192799136";"300,4635041860379";"299,8863798394426";"299,75645790325575";"299,92572147444497";"299,80983571841006";"297,4573421852183";"299,58584339088804";"300,05362507990617"
"WorstSolution";"150,07505728244664";"198,51052396531804";"150,58155152417658";"149,99736845272685";"198,91093274325735";"150,1895369518327";"151,37846858608995";"149,1397345244747";"149,3557630382953";"149,26228631426014"
"Average";"212,72958552130825";"214,78546348827484";"222,68233160845998";"214,57029669091784";"227,7623922293808";"212,49954366252229";"230,13968635021791";"219,60298922542273";"214,9320646547366";"222,26669510275104"
"StandardDeviation";"41,38352822031563";"27,733211543708965";"36,79043146363655";"38,82790606966232";"33,2728757243512";"34,64337724084418";"36,38938344923586";"33,03794738398209";"44,628864434864305";"53,33395470244778"
"Solucao Elitista";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";"301,9829234642751";;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"";"Iteration1";"Iteration2";"Iteration3";"Iteration4";"Iteration5";"Iteration6";"Iteration7";"Iteration8";"Iteration9";"Iteration10"
